
Mils, PCT
  93524 , 41.24 
  93625 , 41.30 
  93726 , 41.36 
  93827 , 41.42 
  93928 , 41.48 
  94028 , 41.54 
  94130 , 41.60 
  94230 , 41.66 
  94330 , 41.73 
  94432 , 41.79 
  94532 , 41.85 
  94633 , 41.92 
  94734 , 41.98 
  94835 , 42.05 
  94936 , 42.12 
  95036 , 42.18 
  95137 , 42.25 
  95238 , 42.32 
  95339 , 42.39 
  95439 , 42.46 
  95541 , 42.52 
  95641 , 42.59 
  95741 , 42.66 
  95843 , 42.73 
  95943 , 42.80 
  96045 , 42.86 
  96145 , 42.93 
  96246 , 43.00 
  96347 , 43.07 
  96448 , 43.13 
  96548 , 43.20 
  96649 , 43.27 
  96750 , 43.33 
  96850 , 43.40 
  96952 , 43.46 
  97052 , 43.52 
  97154 , 43.59 
  97254 , 43.66 
  97354 , 43.72 
  97456 , 43.79 
  97556 , 43.85 
  97657 , 43.92 
  97758 , 43.99 
  97859 , 44.05 
  97959 , 44.12 
  98060 , 44.18 
  98161 , 44.25 
  98262 , 44.32 
  98363 , 44.38 
  98463 , 44.45 
  98565 , 44.51 
  98665 , 44.58 
  98766 , 44.65 
  98867 , 44.72 
  98967 , 44.79 
  99068 , 44.85 
  99169 , 44.92 
  99270 , 44.99 
  99371 , 45.06 
  99472 , 45.12 
  99572 , 45.19 
  99673 , 45.26 
  99774 , 45.33 
  99874 , 45.40 
  99976 , 45.46 
  100076 , 45.53 
  100177 , 45.60 
  100278 , 45.67 
  100379 , 45.74 
  100480 , 45.80 
  100581 , 45.87 
  100681 , 45.94 
  100783 , 46.01 
  100883 , 46.08 
  100983 , 46.14 
  101085 , 46.21 
  101185 , 46.28 
  101286 , 46.35 
  101387 , 46.42 
  101488 , 46.48 
  101588 , 46.55 
  101690 , 46.62 
  101790 , 46.69 
  101892 , 46.76 
  101992 , 46.82 
  102093 , 46.89 
  102194 , 46.96 
  102295 , 47.04 
  102395 , 47.12 
  102497 , 47.20 
  102597 , 47.28 
  102699 , 47.36 
  102799 , 47.44 
  102900 , 47.52 
  103001 , 47.60 
  103102 , 47.68 
  103202 , 47.76 
  103303 , 47.84 
  103404 , 47.92 
  103504 , 48.00 
  103606 , 48.08 
  103706 , 48.16 
  103808 , 48.24 
  103908 , 48.32 
  104009 , 48.40 
  104110 , 48.48 
  104211 , 48.56 
  104311 , 48.64 
  104413 , 48.72 
  104513 , 48.80 
  104614 , 48.88 
  104715 , 48.96 
  104816 , 49.04 
  104916 , 49.12 
  105018 , 49.20 
  105118 , 49.28 
  105220 , 49.36 
  105320 , 49.44 
  105420 , 49.52 
  105522 , 49.60 
  105622 , 49.68 
  105723 , 49.76 
  105824 , 49.84 
  105925 , 49.92 
  106025 , 50.00 
  106127 , 50.08 
  106227 , 50.16 
  106329 , 50.24 
  106429 , 50.32 
  106530 , 50.40 
  106631 , 50.48 
  106732 , 50.56 
  106832 , 50.64 
  106934 , 50.72 
  107034 , 50.80 
  107136 , 50.88 
  107236 , 50.96 
  107337 , 51.04 
  107438 , 51.12 
  107538 , 51.20 
  107639 , 51.28 
  107740 , 51.35 
  107841 , 51.43 
  107941 , 51.51 
  108043 , 51.59 
  108143 , 51.66 
  108244 , 51.74 
  108345 , 51.82 
  108446 , 51.89 
  108547 , 51.97 
  108648 , 52.04 
  108748 , 52.12 
  108850 , 52.20 
  108950 , 52.28 
  109051 , 52.35 
  109152 , 52.43 
  109253 , 52.51 
  109353 , 52.59 
  109455 , 52.67 
  109555 , 52.75 
  109657 , 52.83 
  109757 , 52.91 
  109858 , 52.99 
  109959 , 53.07 
  110059 , 53.14 
  110160 , 53.22 
  110261 , 53.30 
  110362 , 53.38 
  110462 , 53.46 
  110564 , 53.54 
  110664 , 53.62 
  110766 , 53.70 
  110866 , 53.78 
  110967 , 53.86 
  111068 , 53.93 
  111169 , 54.01 
  111269 , 54.08 
  111371 , 54.16 
  111471 , 54.23 
  111572 , 54.31 
  111673 , 54.38 
  111774 , 54.44 
  111875 , 54.51 
  111976 , 54.58 
  112076 , 54.64 
  112178 , 54.71 
  112278 , 54.77 
  112379 , 54.84 
  112480 , 54.90 
  112580 , 54.96 
  112681 , 55.03 
  112782 , 55.09 
  112883 , 55.16 
  112984 , 55.22 
  113085 , 55.29 
  113185 , 55.36 
  113287 , 55.42 
  113387 , 55.49 
  113488 , 55.55 
  113589 , 55.62 
  113690 , 55.69 
  113790 , 55.75 
  113892 , 55.82 
  113992 , 55.88 
  114094 , 55.95 
  114194 , 56.01 
  114295 , 56.08 
  114396 , 56.14 
  114497 , 56.21 
  114597 , 56.28 
  114699 , 56.34 
  114799 , 56.41 
  114899 , 56.47 
  115001 , 56.54 
  115101 , 56.61 
  115203 , 56.67 
  115303 , 56.74 
  115404 , 56.80 
  115505 , 56.87 
  115606 , 56.93 
  115706 , 57.00 
  115808 , 57.07 
  115908 , 57.13 
  116009 , 57.20 
  116110 , 57.26 
  116211 , 57.33 
  116312 , 57.40 
  116413 , 57.46 
  116513 , 57.53 
  116615 , 57.59 
  116715 , 57.66 
  116816 , 57.73 
  116917 , 57.79 
  117018 , 57.86 
  117118 , 57.93 
  117220 , 58.00 
  117320 , 58.07 
  117421 , 58.14 
  117522 , 58.21 
  117622 , 58.28 
  117724 , 58.35 
  117824 , 58.42 
  117925 , 58.49 
  118026 , 58.56 
  118127 , 58.63 
  118227 , 58.70 
  118329 , 58.77 
  118429 , 58.84 
  118531 , 58.91 
  118631 , 58.98 
  118732 , 59.06 
  118833 , 59.13 
  118934 , 59.20 
  119034 , 59.28 
  119136 , 59.36 
  119236 , 59.44 
  119337 , 59.51 
  119438 , 59.59 
  119539 , 59.67 
  119640 , 59.75 
  119741 , 59.83 
  119841 , 59.90 
  119942 , 59.98 
  120043 , 60.06 
  120143 , 60.14 
  120245 , 60.22 
  120345 , 60.30 
  120446 , 60.38 
  120547 , 60.46 
  120648 , 60.54 
  120749 , 60.62 
  120850 , 60.70 
  120950 , 60.78 
  121052 , 60.86 
  121152 , 60.94 
  121253 , 61.02 
  121354 , 61.10 
  121455 , 61.18 
  121555 , 61.26 
  121657 , 61.34 
  121757 , 61.42 
  121859 , 61.50 
  121959 , 61.58 
  122060 , 61.66 
  122161 , 61.74 
  122261 , 61.82 
  122362 , 61.90 
  122463 , 61.98 
  122564 , 62.06 
  122664 , 62.14 
  122766 , 62.22 
  122866 , 62.30 
  122968 , 62.38 
  123068 , 62.46 
  123169 , 62.54 
  123270 , 62.62 
  123371 , 62.70 
  123471 , 62.78 
  123573 , 62.86 
  123673 , 62.94 
  123774 , 63.02 
  123875 , 63.10 
  123976 , 63.18 
  124077 , 63.26 
  124178 , 63.34 
  124278 , 63.42 
  124380 , 63.50 
  124480 , 63.58 
  124581 , 63.66 
  124682 , 63.74 
  124782 , 63.82 
  124883 , 63.90 
  124984 , 63.98 
  125085 , 64.06 
  125186 , 64.14 
  125287 , 64.22 
  125387 , 64.30 
  125489 , 64.38 
  125589 , 64.46 
  125690 , 64.54 
  125791 , 64.62 
  125892 , 64.70 
  125992 , 64.78 
