Mils, PCT
 44726 , 0.42 
 44826 , 0.42 
 44928 , 0.42 
 45028 , 0.42 
 45129 , 0.42 
 45230 , 0.42 
 45330 , 0.42 
 45431 , 0.42 
 45532 , 0.42 
 45632 , 0.42 
 45733 , 0.42 
 45834 , 0.42 
 45935 , 0.42 
 46035 , 0.42 
 46136 , 0.42 
 46237 , 0.42 
 46338 , 0.42 
 46439 , 0.42 
 46539 , 0.42 
 46640 , 0.42 
 46741 , 0.42 
 46841 , 0.42 
 46943 , 0.42 
 47043 , 0.42 
 47143 , 0.42 
 47245 , 0.42 
 47345 , 0.42 
 47446 , 0.42 
 47547 , 0.42 
 47647 , 0.42 
 47749 , 0.42 
 47849 , 0.42 
 47949 , 0.42 
 48051 , 0.42 
 48151 , 0.42 
 48252 , 0.42 
 48353 , 0.42 
 48453 , 0.42 
 48555 , 0.42 
 48655 , 0.42 
 48755 , 0.42 
 48857 , 0.42 
 48957 , 0.42 
 49058 , 0.42 
 49159 , 0.42 
 49259 , 0.42 
 49360 , 0.42 
 49461 , 0.42 
 49562 , 0.42 
 49662 , 0.42 
 49763 , 0.42 
 49864 , 0.42 
 49965 , 0.42 
 50066 , 0.42 
 50166 , 0.42 
 50267 , 0.42 
 50368 , 0.42 
 50468 , 0.42 
 50569 , 0.42 
 50670 , 0.42 
 50770 , 0.42 
 50872 , 0.42 
 50972 , 0.42 
 51073 , 0.42 
 51174 , 0.42 
 51274 , 0.42 
 51376 , 0.42 
 51476 , 0.42 
 51576 , 0.42 
 51678 , 0.42 
 51778 , 0.42 
 51879 , 0.42 
 51980 , 0.42 
 52080 , 0.42 
 52182 , 0.42 
 52282 , 0.42 
 52382 , 0.42 
 52484 , 0.42 
 52584 , 0.42 
 52685 , 0.42 
 52786 , 0.42 
 52886 , 0.42 
 52987 , 0.42 
 53088 , 0.42 
 53189 , 0.42 
 53289 , 0.42 
 53390 , 0.42 
 53491 , 0.42 
 53592 , 0.42 
 53692 , 0.42 
 53793 , 0.42 
 53894 , 0.42 
 53995 , 0.42 
 54095 , 0.42 
 54196 , 0.42 
 54297 , 0.42 
 54397 , 0.42 
 54499 , 0.42 
 54599 , 0.42 
 54700 , 0.42 
 54801 , 0.42 
 54901 , 0.42 
 55003 , 0.42 
 55103 , 0.42 
 55203 , 0.42 
 55305 , 0.42 
 55405 , 0.42 
 55505 , 0.42 
 55607 , 0.42 
 55707 , 0.42 
 55809 , 0.42 
 55909 , 0.42 
 56009 , 0.42 
 56111 , 0.42 
 56211 , 0.42 
 56312 , 0.42 
 56413 , 0.42 
 56513 , 0.42 
 56614 , 0.42 
 56715 , 0.42 
 56815 , 0.42 
 56916 , 0.42 
 57017 , 0.42 
 57118 , 0.42 
 57219 , 0.42 
 57319 , 0.42 
 57420 , 0.42 
 57521 , 0.42 
 57622 , 0.42 
 57722 , 0.42 
 57823 , 0.42 
 57924 , 0.42 
 58024 , 0.42 
 58126 , 0.42 
 58226 , 0.42 
 58327 , 0.42 
 58428 , 0.42 
 58528 , 0.42 
 58629 , 0.42 
 58730 , 0.42 
 58830 , 0.42 
 58932 , 0.42 
 59032 , 0.42 
 59132 , 0.42 
 59234 , 0.42 
 59334 , 0.42 
 59436 , 0.42 
 59536 , 0.42 
 59636 , 0.42 
 59738 , 0.42 
 59838 , 0.42 
 59939 , 0.42 
 60040 , 0.42 
 60140 , 0.42 
 60241 , 0.42 
 60342 , 0.42 
 60442 , 0.42 
 60544 , 0.42 
 60644 , 0.42 
 60745 , 0.42 
 60846 , 0.42 
 60946 , 0.42 
 61047 , 0.42 
 61148 , 0.42 
 61249 , 0.42 
 61349 , 0.42 
 61450 , 0.42 
 61551 , 0.42 
 61651 , 0.42 
 61752 , 0.42 
 61853 , 0.42 
 61954 , 0.42 
 62055 , 0.42 
 62155 , 0.42 
 62256 , 0.42 
 62357 , 0.42 
 62457 , 0.42 
 62559 , 0.42 
 62659 , 0.42 
 62759 , 0.42 
 62861 , 0.42 
 62961 , 0.42 
 63063 , 0.42 
 63163 , 0.42 
 63263 , 0.42 
 63365 , 0.42 
 63465 , 0.42 
 63565 , 0.42 
 63667 , 0.42 
 63767 , 0.42 
 63868 , 0.42 
 63969 , 0.42 
 64069 , 0.42 
 64171 , 0.42 
 64271 , 0.42 
 64372 , 0.42 
 64473 , 0.42 
 64573 , 0.42 
 64674 , 0.42 
 64775 , 0.42 
 64876 , 0.42 
 64976 , 0.42 
 65077 , 0.42 
 65178 , 0.42 
 65278 , 0.42 
 65379 , 0.42 
 65480 , 0.42 
 65581 , 0.42 
 65682 , 0.42 
 65782 , 0.42 
 65883 , 0.42 
 65984 , 0.42 
 66084 , 0.42 
 66186 , 0.42 
 66286 , 0.42 
 66386 , 0.42 
 66488 , 0.42 
 66588 , 0.42 
 66689 , 0.42 
 66790 , 0.42 
 66890 , 0.42 
 66992 , 0.42 
 67092 , 0.42 
 67192 , 0.42 
 67294 , 0.42 
 67394 , 0.42 
 67495 , 0.42 
 67596 , 0.42 
 67696 , 0.42 
 67798 , 0.42 
 67898 , 0.42 
 67999 , 0.42 
 68100 , 0.42 
 68200 , 0.42 
 68301 , 0.42 
 68402 , 0.42 
 68502 , 0.42 
 68603 , 0.42 
 68704 , 0.42 
 68805 , 0.42 
 68905 , 0.42 
 69006 , 0.42 
 69107 , 0.42 
 69208 , 0.42 
 69309 , 0.42 
 69409 , 0.42 
 69510 , 0.42 
 69611 , 0.42 
 69711 , 0.42 
 69813 , 0.42 
 69913 , 0.42 
 70013 , 0.42 
 70115 , 0.42 
 70215 , 0.42 
 70316 , 0.42 
 70417 , 0.42 
 70517 , 0.42 
 70619 , 0.42 
 70719 , 0.42 
 70819 , 0.42 
 70921 , 0.42 
 71021 , 0.42 
 71122 , 0.42 
 71223 , 0.42 
 71323 , 0.42 
 71425 , 0.42 
 71525 , 0.42 
 71625 , 0.42 
 71727 , 0.42 
 71827 , 0.42 
 71928 , 0.42 
 72029 , 0.42 
 72129 , 0.42 
 72230 , 0.42 
 72331 , 0.42 
 72432 , 0.42 
 72532 , 0.42 
 72633 , 0.42 
 72734 , 0.42 
 72835 , 0.42 
 72936 , 0.42 
 73036 , 0.42 
 73137 , 0.42 
 73238 , 0.42 
 73338 , 0.42 
 73439 , 0.42 
