Mils, Light_Value, Delay_Value
  124388  , 13  , 235
  124861  , 13  , 235
  125335  , 13  , 235
  125808  , 13  , 235
  126281  , 13  , 235
  126754  , 13  , 235
  127227  , 13  , 235
  127702  , 13  , 235
  128175  , 13  , 235
  128648  , 13  , 235
  129121  , 13  , 235
  129594  , 13  , 235
  130067  , 13  , 235
  130541  , 13  , 235
  131014  , 13  , 235
  131487  , 13  , 235
  131960  , 13  , 235
  132433  , 14  , 214
  132866  , 13  , 235
  133339  , 13  , 235
  133812  , 14  , 214
  134243  , 13  , 235
  134716  , 13  , 235
  135189  , 13  , 235
  135663  , 13  , 235
  136136  , 13  , 235
  136609  , 13  , 235
  137082  , 13  , 235
  137555  , 13  , 235
  138030  , 13  , 235
  138503  , 13  , 235
  138976  , 13  , 235
  139449  , 14  , 214
  139880  , 13  , 235
  140354  , 13  , 235
  140827  , 13  , 235
  141300  , 13  , 235
  141773  , 13  , 235
  142246  , 13  , 235
  142720  , 13  , 235
  143194  , 13  , 235
  143667  , 13  , 235
  144140  , 13  , 235
  144613  , 13  , 235
  145086  , 13  , 235
  145560  , 13  , 235
  146033  , 13  , 235
  146506  , 13  , 235
  146979  , 13  , 235
  147452  , 13  , 235
  147927  , 13  , 235
  148400  , 13  , 235
  148873  , 13  , 235
  149346  , 13  , 235
  149819  , 14  , 214
  150250  , 13  , 235
  150724  , 13  , 235
  151197  , 13  , 235
  151670  , 13  , 235
  152143  , 13  , 235
  152616  , 13  , 235
  153091  , 13  , 235
  153564  , 14  , 214
  153995  , 13  , 235
  154468  , 13  , 235
  154941  , 13  , 235
  155414  , 13  , 235
  155888  , 13  , 235
  156361  , 13  , 235
  156834  , 14  , 214
  157265  , 13  , 235
  157739  , 13  , 235
  158213  , 13  , 235
  158686  , 13  , 235
  159159  , 13  , 235
  159632  , 13  , 235
  160105  , 14  , 214
  160537  , 13  , 235
  161010  , 13  , 235
  161483  , 14  , 214
  161914  , 14  , 214
  162345  , 13  , 235
  162819  , 13  , 235
  163293  , 13  , 235
  163766  , 13  , 235
  164239  , 13  , 235
  164712  , 14  , 214
  165143  , 13  , 235
  165617  , 13  , 235
  166090  , 13  , 235
  166563  , 13  , 235
  167036  , 13  , 235
  167510  , 13  , 235
  167983  , 13  , 235
  168457  , 13  , 235
  168930  , 13  , 235
  169403  , 13  , 235
  169876  , 13  , 235
  170349  , 13  , 235
  170823  , 13  , 235
  171296  , 13  , 235
  171769  , 13  , 235
  172242  , 13  , 235
  172716  , 13  , 235
  173190  , 13  , 235
  173663  , 13  , 235
  174136  , 13  , 235
  174609  , 13  , 235
  175082  , 13  , 235
  175556  , 13  , 235
  176029  , 13  , 235
  176502  , 13  , 235
  176975  , 13  , 235
  177448  , 13  , 235
  177922  , 13  , 235
  178396  , 13  , 235
  178869  , 13  , 235
  179342  , 13  , 235
  179815  , 13  , 235
  180288  , 13  , 235
  180762  , 13  , 235
  181235  , 13  , 235
  181708  , 13  , 235
  182181  , 13  , 235
  182654  , 13  , 235
  183129  , 14  , 214
  183560  , 13  , 235
  184033  , 13  , 235
  184506  , 13  , 235
  184979  , 14  , 214
  185410  , 13  , 235
  185884  , 13  , 235
  186357  , 13  , 235
  186830  , 13  , 235
  187303  , 13  , 235
  187777  , 13  , 235
  188251  , 13  , 235
  188724  , 13  , 235
  189197  , 13  , 235
  189670  , 13  , 235
  190143  , 13  , 235
  190616  , 13  , 235
  191090  , 13  , 235
  191563  , 13  , 235
  192036  , 13  , 235
  192509  , 13  , 235
  192983  , 13  , 235
  193457  , 13  , 235
  193930  , 13  , 235
  194403  , 13  , 235
  194876  , 13  , 235
  195349  , 13  , 235
  195823  , 13  , 235
  196296  , 14  , 214
  196727  , 13  , 235
  197200  , 13  , 235
  197673  , 13  , 235
  198147  , 13  , 235
  198621  , 13  , 235
  199094  , 13  , 235
  199567  , 13  , 235
  200040  , 13  , 235
  200513  , 13  , 235
  200987  , 13  , 235
  201460  , 13  , 235
  201933  , 13  , 235
  202406  , 13  , 235
  202880  , 13  , 235
  203353  , 13  , 235
  203827  , 13  , 235
  204300  , 13  , 235
  204773  , 13  , 235
  205246  , 13  , 235
  205719  , 13  , 235
  206193  , 13  , 235
  206666  , 13  , 235
  207139  , 13  , 235
  207612  , 13  , 235
  208086  , 13  , 235
  208560  , 13  , 235
  209033  , 13  , 235
  209506  , 13  , 235
  209979  , 13  , 235
  210452  , 13  , 235
  210925  , 13  , 235
  211399  , 13  , 235
  211872  , 13  , 235
  212345  , 13  , 235
  212818  , 13  , 235
  213292  , 13  , 235
  213766  , 13  , 235
  214239  , 13  , 235
  214712  , 13  , 235
  215185  , 13  , 235
  215658  , 13  , 235
  216132  , 13  , 235
  216605  , 13  , 235
  217078  , 13  , 235
  217551  , 13  , 235
  218024  , 13  , 235
  218498  , 13  , 235
  218972  , 13  , 235
  219445  , 13  , 235
  219918  , 13  , 235
  220391  , 13  , 235
  220864  , 13  , 235
  221338  , 13  , 235
  221811  , 13  , 235
  222284  , 13  , 235
  222757  , 13  , 235
  223230  , 13  , 235
  223705  , 13  , 235
  224178  , 13  , 235
  224651  , 13  , 235
  225124  , 13  , 235
  225597  , 13  , 235
  226070  , 13  , 235
  226544  , 13  , 235
  227017  , 13  , 235
  227490  , 13  , 235
  227963  , 13  , 235
  228436  , 13  , 235
  228911  , 13  , 235
  229384  , 13  , 235
  229857  , 13  , 235
  230330  , 13  , 235
  230803  , 13  , 235
  231276  , 13  , 235
  231750  , 13  , 235
  232223  , 13  , 235
  232696  , 13  , 235
  233169  , 13  , 235
  233643  , 13  , 235
  234117  , 13  , 235
  234590  , 13  , 235
  235063  , 13  , 235
  235536  , 13  , 235
  236009  , 13  , 235
  236483  , 13  , 235
  236956  , 13  , 235
  237429  , 13  , 235
  237902  , 13  , 235
  238375  , 13  , 235
  238849  , 13  , 235
  239323  , 13  , 235
  239796  , 13  , 235
  240269  , 13  , 235
  240742  , 13  , 235
  241215  , 13  , 235
  241689  , 13  , 235
  242162  , 13  , 235
  242635  , 13  , 235
  243108  , 13  , 235
  243581  , 13  , 235
  244056  , 13  , 235
  244529  , 13  , 235
  245002  , 13  , 235
  245475  , 13  , 235
  245948  , 13  , 235
  246421  , 13  , 235
  246895  , 13  , 235
  247368  , 13  , 235
  247841  , 13  , 235
  248314  , 13  , 235
  248787  , 13  , 235
  249262  , 13  , 235
  249735  , 13  , 235
  250208  , 13  , 235
  250681  , 13  , 235
  251154  , 13  , 235
  251628  , 13  , 235
  252101  , 13  , 235
  252574  , 13  , 235
  253047  , 13  , 235
  253520  , 13  , 235
  253993  , 13  , 235
  254468  , 13  , 235
  254941  , 13  , 235
  255414  , 13  , 235
  255887  , 13  , 235
  256360  , 13  , 235
  256834  , 13  , 235
  257307  , 13  , 235
  257780  , 13  , 235
  258253  , 13  , 235
  258726  , 13  , 235
  259201  , 13  , 235
  259674  , 13  , 235
  260147  , 13  , 235
  260620  , 13  , 235
  261093  , 13  , 235
  261566  , 13  , 235
  262040  , 13  , 235
  262513  , 13  , 235
  262986  , 13  , 235
  263459  , 13  , 235
  263932  , 13  , 235
  264407  , 13  , 235
  264880  , 13  , 235
  265353  , 13  , 235
  265826  , 13  , 235
  266299  , 13  , 235
  266773  , 13  , 235
  267246  , 13  , 235
  267719  , 13  , 235
